Crop,State,Season,Area-2020-21 (Lakh ha),Area-2021-22 (Lakh ha),Area-2022-23 (Lakh ha),Area-2023-24 (Lakh ha),Area-2024-25 (Lakh ha),Production-2020-21,Production-2021-22 (Lakh Tonnes),Production-2022-23  (Lakh Tonnes),Production-2023-24  (Lakh Tonnes),Production-2024-25  (Lakh Tonnes),Yield-2020-21 (Kg/ha),Yield-2021-22 (Kg/ha),Yield-2022-23 (Kg/ha),Yield-2023-24 (Kg/ha),Yield-2024-25 (Kg/ha)
Rice,Chhattisgarh,Rabi,,,,,,,0,,,,,,,,
Rice,Dadra And Nagar Haveli,Kharif,0.16,0.16,0.17,0.17,,0.33,0.33,0.36,0.36,,2078,2069,2073,2068,
Rice,Dadra And Nagar Haveli,Rabi,0,0,,,,0,0,,,,0,0,,,
Rice,Daman And Diu,Kharif,0.01,0.01,,,,0.03,0.03,,,,1956,1936,,,
Rice,Daman And Diu,Rabi,0,0,,,,0,0,,,,0,0,,,
Rice,Delhi,Kharif,0.06,0.06,0.06,0.06,,0.2,0.19,0.17,0.17,,3200,3106,3067,3067,
Rice,Delhi,Rabi,,0,,,,,0,,,,,0,,,
Rice,Goa,Kharif,0.23,0.23,0.23,0.23,,0.62,0.66,0.63,0.68,,2627,2816,2789,2890,
Rice,Goa,Rabi,0.09,0.09,0.09,0.09,,0.26,0.25,0.25,0.27,,2790,2742,2842,2983,
Rice,Gujarat,Kharif,8.37,8.18,8.68,8.73,8.86,19.37,18.85,21.66,21.38,19.31,2314,2304,2496,2449,2179
Rice,Gujarat,Rabi,0.7,0.74,,,,2.09,2.16,,,,2999,2924,,,
Rice,Gujarat,Summer,,,0.79,0.95,1.27,,,2.3,2.69,3.57,,,2899,2816,2816
Rice,Haryana,Kharif,13.27,12.81,15.2,15.63,16.09,44.25,46.18,51.09,59.76,60.6,3334,3605,3362,3822,3766
Rice,Haryana,Rabi,,,,,,,0,,,,,,,,
Rice,Himachal Pradesh,Kharif,0.68,0.66,0.67,0.7,0.7,1.4,1.68,1.31,1.73,1.58,2052,2532,1942,2474,2263
Rice,Himachal Pradesh,Rabi,,,,,,,0,,,,,,,,
Rice,Jammu And Kashmir,Kharif,2.68,2.69,2.74,2.58,,5.81,4.93,6.04,6.41,,2173,1834,2202,2482,
Rice,Jammu And Kashmir,Rabi,,0,,,,,0,,,,,0,,,
Rice,Jharkhand,Kharif,14.11,14.45,8.55,11,14.66,27.53,29.3,14.94,15.16,27.77,1951,2028,1747,1378,1894
Rice,Jharkhand,Rabi,0,,,,,0,0,,,,0,,,,
Rice,Karnataka,Kharif,10.38,10.08,9.46,8.49,8.86,31.45,31.22,31.63,28.23,30.21,3030,3097,3344,3325,3409
Rice,Karnataka,Rabi,3.59,3.9,0.92,0.43,0.41,11.47,11.97,2.42,1.16,1.16,3193,3069,2633,2694,2833
Rice,Karnataka,Summer,,,2.9,0.61,3.05,,,8.74,1.89,9.09,,,3016,3093,2986
Rice,Kerala,Kharif,1.57,1.5,0.5,0.45,0.41,4.7,3.42,1.37,1.16,1.15,2985,2274,2716,2593,2786
Rice,Kerala,Rabi,0.48,0.45,0.71,0.72,0.69,1.64,1.45,2.25,1.95,2.03,3441,3195,3149,2711,2961
Rice,Kerala,Summer,,,0.7,0.63,0.66,,,2.34,1.86,2.09,,,3350,2941,3155
Rice,Ladakh,Kharif,,0,,,,,0,,,,,0,,,
Rice,Ladakh,Rabi,,0,,,,,0,,,,,0,,,
Rice,Lakshadweep,Kharif,,0,,,,,0,,,,,0,,,
Rice,Lakshadweep,Rabi,,0,,,,,0,,,,,0,,,
Rice,Madhya Pradesh,Kharif,20.8,21.09,34.14,34.4,38.33,42.87,48.15,70.22,71.11,88.31,2061,2283,2057,2067,2304
Rice,Madhya Pradesh,Rabi,0.37,0,,,0.52,1.27,0,,,1.55,3430,0,,,2974
Rice,Madhya Pradesh,Summer,,,,0.4,0.51,,,,1.29,1.64,,,,3215,3215
Rice,Maharashtra,Kharif,14.73,15.49,15.55,15.25,15.21,30.28,32.95,34.54,34.63,35.62,2056,2127,2221,2270,2341
Rice,Maharashtra,Rabi,0.88,1.03,,,,2.64,3.03,,,,3001,2954,,,
Rice,Maharashtra,Summer,,,1.63,1.68,1.71,,,4.45,4.37,4.47,,,2732,2611,2611
Rice,Manipur,Kharif,0.31,0.05,0.06,0.06,,0.79,0.15,0.18,0.17,,2560,3008,3091,2970,
Rice,Manipur,Rabi,1.95,1.95,,,,5.23,5.52,,,,2684,2832,,,
Rice,Manipur,Summer,,,1.81,1.65,,,,3.31,3.31,,,,1835,2010,
Rice,Meghalaya,Kharif,0.94,0.95,0.95,0.95,,2.33,2.34,2.22,2.08,,2477,2469,2333,2180,
Rice,Meghalaya,Rabi,0.14,0.14,0.12,0.12,,0.63,0.63,0.57,0.57,,4629,4626,4566,4566,
Rice,Mizoram,Kharif,0.35,0.34,0.34,0.24,,0.61,0.6,0.39,0.39,,1760,1740,1149,1600,
Rice,Mizoram,Rabi,0,0,0.01,0.01,,0.01,0.01,0.01,0.01,,2089,2008,1320,2080,
Rice,Nagaland,Kharif,2.13,1.22,2.08,2.08,,3.56,1.5,3.64,3.64,,1673,1233,1748,1751,
Rice,Nagaland,Rabi,0.06,0,0.03,0.02,,0.11,0,0.06,0.05,,1900,1800,1995,1999,
Rice,Odisha,Kharif,36.9,36.48,37.29,37.01,34.17,76.57,81.54,70.81,72.79,84.62,2075,2235,1899,1967,2477
Rice,Odisha,Rabi,3.48,2.99,,,,11.53,11.37,,,,3313,3797,,,
Rice,Odisha,Summer,,,3.36,3.71,3.58,,,11.69,11.95,11.52,,,3485,3219,3219
Rice,Puducherry,Kharif,0.04,0.04,0.04,0.04,,0.14,0.13,0.14,0.13,,3347,2956,3311,3142,
Rice,Puducherry,Rabi,0.14,0.15,0.1,0.1,,0.36,0.44,0.32,0.32,,2571,2992,3137,3139,
Rice,Puducherry,Summer,,,0.05,0.05,,,,0.19,0.16,,,,3635,3112,
Rice,Punjab,Kharif,29.28,29.69,30.98,31.79,32.43,127.84,128.85,129.91,143.56,143.61,4366,4340,4193,4516,4428
Rice,Punjab,Rabi,,,,,,,0,,,,,,,,
Rice,Rajasthan,Kharif,2.31,1.96,2.34,2.68,3.54,6.34,4.79,5.77,7.46,9.16,2739,2436,2464,2786,2588
Rice,Rajasthan,Rabi,,,,,,,0,,,,,,,,
Rice,Sikkim,Kharif,0.09,0.09,0.08,0.06,,0.16,0.16,0.1,0.08,,1861,1861,1241,1242,
Rice,Sikkim,Rabi,,,,,,,0,,,,,,,,
Rice,Tamil Nadu,Kharif,18.6,20.24,6.93,6.8,6.64,61.37,70.51,25.13,20.9,22.41,3300,3483,3627,3074,3375
Rice,Tamil Nadu,Rabi,1.77,1.93,12.68,11.79,12.21,7.44,8.56,42.56,37.79,38.35,4215,4436,3357,3204,3141
Rice,Tamil Nadu,Summer,,,1.98,2.43,2.76,,,7.88,9.31,10.59,,,3975,3839,3839
Rice,Telangana,Kharif,18,23.74,25.41,25.74,24.87,54.4,78.34,88.87,93.44,90.52,3022,3300,3498,3630,3639
Rice,Telangana,Rabi,13.86,12.81,21.22,21.11,23.22,47.78,45.75,69.91,75.3,80.41,3446,3572,3295,3567,3463
Rice,Tripura,Kharif,1.98,1.91,1.79,1.79,,5.85,5.85,5.77,5.77,,2953,3069,3218,3218,
Rice,Tripura,Rabi,0.66,0.65,0.63,0.63,,2.18,2.26,2.12,2.12,,3321,3470,3391,3391,
Rice,Uttar Pradesh,Kharif,56.52,56.76,58.67,57.32,72.25,154.3,151.83,160.33,158.65,202.43,2730,2675,2733,2768,2802
Rice,Uttar Pradesh,Rabi,0.26,0.27,,,,0.9,0.88,,,,3464,3268,,,
Rice,Uttar Pradesh,Summer,,,0.32,0.36,2,,,1.1,1.25,6.88,,,3439,3474,3439
Rice,Uttarakhand,Kharif,2.38,2.33,2.27,2.21,2.09,6.57,6.24,5.57,5.63,5.57,2762,2680,2453,2552,2667
Rice,Uttarakhand,Rabi,0.16,0.24,,,,0.58,0.92,,,,3595,3817,,,
Rice,Uttarakhand,Summer,,,0.22,0.23,0.32,,,0.78,0.81,1.14,,,3526,3571,3571
Rice,West Bengal,Kharif,43,42.86,37.69,38.09,42.3,118.55,122.05,107.79,109.47,115.72,2757,2848,2860,2874,2736
Rice,West Bengal,Rabi,12.86,13,,,,46.69,45.23,,,,3632,3479,,,
Rice,West Bengal,Summer,,,12.96,13.1,13.6,,,47.06,47.39,49.19,,,3630,3617,3617
Rice,Others,Kharif,,,,,9.69,,,,,22.51,,,,,2323
Rice,Others,Rabi,,,,,0.98,,,,,3.35,,,,,3425
Rice,Others,Summer,,,,,1.7,,,,,3.47,,,,,2043
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Wheat,Andaman And Nicobar Islands,Rabi,,0,,,,,0,,,,,0,,,
Wheat,Andhra Pradesh,Rabi,0,0,,,,0,0,,,,0,0,,,
Wheat,Arunachal Pradesh,Rabi,0.04,0.04,0.04,0.04,,0.08,0.08,0.08,0.07,,1970,1974,1977,1974,
Wheat,Assam,Rabi,0.09,0.09,0.09,0.09,0.09,0.13,0.11,0.12,0.13,0.13,1379,1248,1322,1434,1434
Wheat,Bihar,Rabi,22.23,22.39,21.99,22.76,22.51,61.5,62.24,65.06,71.68,71.2,2767,2780,2958,3150,3164
Wheat,Chandigarh,Rabi,0.01,0.01,0.01,0.01,,0.02,0.03,0.03,0.03,,4500,5000,4696,5000,
Wheat,Chhattisgarh,Rabi,1.6,1.56,1.33,1.34,1.55,2.48,1.92,1.9,1.81,2.35,1551,1229,1427,1350,1517
Wheat,Dadra And Nagar Haveli,Rabi,0,0,,,,0,0,,,,0,0,,,
Wheat,Daman And Diu,Rabi,,0,,,,,0,,,,,0,,,
Wheat,Delhi,Rabi,0.19,0.18,0.17,0.17,,0.84,0.81,0.81,0.8,,4360,4500,4650,4650,
Wheat,Goa,Rabi,,,,,,,0,,,,,,,,
Wheat,Gujarat,Rabi,10.17,10.4,10.67,12.46,12.82,32.59,33.33,34.64,37.73,40.14,3205,3205,3248,3027,3132
Wheat,Haryana,Rabi,25.64,23.05,23.23,23.7,24.04,123.94,104.47,109.29,111.91,114.75,4834,4533,4704,4723,4774
Wheat,Himachal Pradesh,Rabi,3.33,3.2,3.19,3.17,3.19,5.7,5.49,5.92,7.86,6.98,1712,1714,1853,2480,2190
Wheat,Jammu And Kashmir,Rabi,2.44,2.83,2.84,2.84,,4.84,5.84,5.87,5.87,,1985,2066,2062,2062,
Wheat,Jharkhand,Rabi,2.33,2.28,2.04,2.28,2.49,5.44,5.19,4.39,4.81,5.39,2337,2282,2146,2110,2169
Wheat,Karnataka,Rabi,2.03,1.65,1.46,1.45,1.63,2.62,2.12,2,1.9,2.04,1291,1287,1373,1309,1253
Wheat,Kerala,Rabi,,0,,,,,0,,,,,1000,,,
Wheat,Ladakh,Rabi,0.04,0.04,0.04,0.04,,0.07,0.07,0.07,0.07,,1600,1600,1553,1553,
Wheat,Lakshadweep,Rabi,,0,,,,,0,,,,,0,,,
Wheat,Madhya Pradesh,Rabi,60.83,65,71.5,74.97,77.57,181.82,229.78,227.3,225.81,233.66,2989,3535,3179,3012,3012
Wheat,Maharashtra,Rabi,11.26,11.32,12.19,10.47,11.52,20.71,21.44,23.74,19.88,22.03,1839,1894,1948,1899,1913
Wheat,Manipur,Rabi,0.02,0.02,0.02,0.02,,0.06,0.06,0.06,0.06,,2535,2457,2481,2600,
Wheat,Meghalaya,Rabi,0,0,0,0,,0.01,0.01,0,0,,1935,1935,1790,1790,
Wheat,Mizoram,Rabi,,,,,,,0,,,,,,,,
Wheat,Nagaland,Rabi,0.03,0.01,0.01,0.01,,0.06,0.02,0.03,0.03,,1834,1688,1838,1840,
Wheat,Odisha,Rabi,0,0,0,0,0,0,0,0,0,0,1640,1705,1548,1894,1835
Wheat,Puducherry,Rabi,,0,,,,,0,,,,,0,,,
Wheat,Punjab,Rabi,35.3,35.25,35.35,35.16,35,171.86,148.61,167.83,177.37,179.05,4868,4216,4748,5045,5116
Wheat,Rajasthan,Rabi,30.02,25.8,27.94,27.4,31.68,110.35,100.96,106.36,97,113.82,3676,3913,3807,3540,3593
Wheat,Sikkim,Rabi,0,0,0,0,,0,0,0,0,,1154,1155,1155,1160,
Wheat,Tamil Nadu,Rabi,,,,,,,0,,,,,,,,
Wheat,Telangana,Rabi,0.06,0.07,0.03,0.04,0.03,0.16,0.14,0.06,0.07,0.05,2640,2009,2073,1714,2017
Wheat,Tripura,Rabi,0,0,0,0,,0,0,0,0,,2071,2071,2048,2048,
Wheat,Uttar Pradesh,Rabi,98.52,94.2,95.19,95.32,95.99,355.07,339.5,336.1,353.4,362.42,3604,3604,3531,3708,3776
Wheat,Uttarakhand,Rabi,3.12,2.98,2.85,2.68,2.58,9.55,8.63,8.31,8.69,8.49,3062,2896,2916,3244,3291
Wheat,West Bengal,Rabi,1.93,2.21,1.8,1.9,1.8,5.95,6.56,5.57,5.93,5.63,3077,2974,3088,3127,3130
Wheat,Others,Rabi,,,,,3.14,,,,,6.92,,,,,2203
,,,,,,,,,,,,,,,,,
Maize,Andaman And Nicobar Islands,Kharif,0,0,0,0,,0,0,0,0,,2680,2680,2260,2410,
Maize,Andaman And Nicobar Islands,Rabi,,0,,,,,0,,,,,0,,,
Maize,Andhra Pradesh,Kharif,1.14,1.3,1.38,1.39,1.44,4.34,4.41,5.58,5.56,6.1,3807,3390,4046,4007,4234
Maize,Andhra Pradesh,Rabi,1.87,2.12,2.48,1.54,1.85,13.47,14.59,21.97,12.63,13.66,7203,6880,8859,8229,7386
Maize,Arunachal Pradesh,Kharif,0.41,0.43,0.44,0.44,,0.63,0.67,0.68,0.68,,1535,1539,1544,1545,
Maize,Arunachal Pradesh,Rabi,0.1,0.11,0.11,0.11,,0.17,0.19,0.19,0.19,,1716,1720,1722,1725,
Maize,Assam,Kharif,0.41,0.43,0.52,0.42,0.35,1.48,1.7,1.92,2.15,1.59,3594,3965,3698,5148,4552
Maize,Assam,Rabi,,,,0.62,0.65,,0,,3.18,3.34,,,,5139,5143
Maize,Bihar,Kharif,1.94,1.74,1.81,2.16,1.94,2.25,2.35,4.45,5.86,6.14,1163,1352,2458,2713,3169
Maize,Bihar,Rabi,4.56,4.89,4.09,5.58,4.97,18.59,24.34,29.15,40.51,32.85,4081,4976,7120,7262,6608
Maize,Bihar,Summer,,,1.58,1.82,1.68,,,10.19,10.72,10.02,,,6469,5904,5962
Maize,Chandigarh,Kharif,0,0,0,0,,0,0,0,0,,3000,2875,2875,3000,
Maize,Chandigarh,Rabi,0,0,,,,0,0,,,,0,0,,,
Maize,Chhattisgarh,Kharif,1.14,1.31,1.2,1.09,1.21,3.41,3.94,3.93,3.44,3.83,2996,3017,3267,3144,3172
Maize,Chhattisgarh,Rabi,,,,,,,0,,,,,,,,
Maize,Dadra And Nagar Haveli,Kharif,0,0,,,,0,0,,,,0,0,,,
Maize,Dadra And Nagar Haveli,Rabi,0,0,,,,0,0,,,,0,0,,,
Maize,Daman And Diu,Kharif,,0,,,,,0,,,,,0,,,
Maize,Daman And Diu,Rabi,,0,,,,,0,,,,,0,,,
Maize,Delhi,Kharif,0,0,0,0,,0,0,0,0,,5091,5100,5120,5111,
Maize,Delhi,Rabi,,0,,,,,0,,,,,0,,,
Maize,Goa,Kharif,,0,,,,,0,,,,,0,,,
Maize,Goa,Rabi,,,,,,,0,,,,,,,,
Maize,Gujarat,Kharif,2.87,2.95,2.88,2.82,2.86,4.36,5.75,5.49,5.69,4.22,1521,1950,1906,2013,1474
Maize,Gujarat,Rabi,1.02,0.96,1.06,1.16,1.34,2.32,2.42,2.9,3.24,3.52,2265,2521,2748,2806,2623
Maize,Gujarat,Summer,,,0.07,0.07,0.08,,,0.18,0.16,0.17,,,2562,2296,2234
Maize,Haryana,Kharif,0.07,0.05,0.05,0.05,0.04,0.2,0.16,0.16,0.18,0.13,3026,3133,3328,3685,3011
Maize,Haryana,Rabi,,,,,,,0,,,,,,,,
Maize,Himachal Pradesh,Kharif,2.67,2.63,2.56,2.53,2.53,7.29,7.81,6.78,6.08,7.47,2727,2970,2654,2403,2951
Maize,Himachal Pradesh,Rabi,,,,,,,0,,,,,,,,
Maize,Jammu And Kashmir,Kharif,2.89,2.93,2.76,2.88,,5.09,5.81,5.47,5.88,,1759,1986,1979,2041,
Maize,Jammu And Kashmir,Rabi,,0,,,,,0,,,,,0,,,
Maize,Jharkhand,Kharif,2.86,2.73,2.09,2.59,2.74,6.23,6.07,4.08,5.45,6.49,2181,2225,1952,2099,2370
Maize,Jharkhand,Rabi,0.12,0.12,0.31,0.1,0.12,0.28,0.29,0.5,0.21,0.27,2305,2373,1622,2067,2251
Maize,Karnataka,Kharif,15.32,13.98,15.46,17.45,15.86,46.74,45.18,46.15,47.53,50.21,3051,3231,2985,2724,3166
Maize,Karnataka,Rabi,1.94,1.94,2.95,1.92,2.68,6.88,7.02,10.3,7.46,9.62,3546,3621,3490,3884,3589
Maize,Karnataka,Summer,,,0.71,0.35,0.48,,,2.67,1.3,1.8,,,3755,3718,3743
Maize,Kerala,Kharif,0,0,0,0,0,0,0,0,0,0,1423,2125,3091,2675,2784
Maize,Kerala,Rabi,0,0,0,0,0,0,0,0,0,0,963,2731,3390,2591,3153
Maize,Kerala,Summer,,,0,0,0,,,0,0,0,,,1286,2342,2448
Maize,Ladakh,Kharif,,0,,,,,0,,,,,0,,,
Maize,Ladakh,Rabi,,0,,,,,0,,,,,0,,,
Maize,Lakshadweep,Kharif,,0,,,,,0,,,,,0,,,
Maize,Lakshadweep,Rabi,,0,,,,,0,,,,,0,,,
Maize,Madhya Pradesh,Kharif,13.83,14,14.48,15.3,20.77,37.94,46.07,46.21,42.74,57.89,2743,3291,3191,2794,2787
Maize,Madhya Pradesh,Rabi,0.22,0,,,2.1,0.88,0,,,7.9,3999,0,,,3762
Maize,Madhya Pradesh,Summer,,,,0.13,0.27,,,,0.65,1.31,,,,4972,4860
Maize,Maharashtra,Kharif,7.89,8.11,8.81,9.09,11.16,25.57,21.86,27.13,14.41,33.4,3241,2694,3080,1584,2994
Maize,Maharashtra,Rabi,3.93,4.4,4.24,3.57,4.84,9.63,13.99,11.31,9.05,13.63,2449,3182,2669,2538,2816
Maize,Maharashtra,Summer,,,0.41,0.6,0.97,,,0.76,1.04,1.72,,,1854,1729,1780
Maize,Manipur,Kharif,0.19,0.16,,,,0.44,0.35,,,,2362,2281,,,
Maize,Manipur,Rabi,0.07,0.07,0.07,0.07,,0.16,0.15,0.17,0.16,,2281,2232,2293,2200,
Maize,Manipur,Summer,,,0.18,0.17,,,,0.4,0.38,,,,2190,2280,
Maize,Meghalaya,Kharif,0.18,0.18,0.19,0.19,,0.42,0.42,0.44,0.44,,2300,2302,2265,2265,
Maize,Meghalaya,Rabi,,0,,,,,0,,,,,0,,,
Maize,Mizoram,Kharif,0.06,0.06,0.11,0.06,,0.12,0.11,0.18,0.09,,1824,1720,1650,1620,
Maize,Mizoram,Rabi,0.01,0.01,0,0.01,,0.01,0.01,0.01,0.01,,1602,1503,2210,2140,
Maize,Nagaland,Kharif,0.64,0.39,0.39,0.39,,1.27,0.61,0.78,0.78,,1988,1552,2005,2000,
Maize,Nagaland,Rabi,0.05,0.01,0.05,0.05,,0.11,0.01,0.11,0.11,,1985,1903,1987,1990,
Maize,Odisha,Kharif,0.75,0.99,0.81,0.83,0.7,2.2,2.75,2.44,2.88,2.13,2919,2783,2998,3483,3049
Maize,Odisha,Rabi,0.03,0.04,,,0.18,0.07,0.1,,,0.82,2614,2697,,,4440
Maize,Odisha,Summer,,,0.03,0.08,0.08,,,0.07,0.28,0.28,,,2480,3445,3344
Maize,Puducherry,Kharif,,0,,,,,0,,,,,0,,,
Maize,Puducherry,Rabi,,,,,,,0,,,,,,,,
Maize,Punjab,Kharif,1.08,1.05,0.93,0.95,0.86,3.95,4.13,4.1,3.62,3.7,3665,3930,4393,3827,4299
Maize,Punjab,Rabi,,,,,,,0,,,,,,,,
Maize,Rajasthan,Kharif,9.76,9.36,9.41,8.62,9.7,21.87,19.55,20.92,20.63,24.95,2240,2089,2224,2394,2571
Maize,Rajasthan,Rabi,0.17,0.16,0.16,0.19,0.37,0.83,0.9,0.87,1.07,2,4901,5685,5406,5699,5455
Maize,Rajasthan,Summer,,,0,0,,,,0,0,,,,1723,1436,
Maize,Sikkim,Kharif,0.38,0.38,0.38,0.3,,0.68,0.68,0.67,0.53,,1770,1773,1787,1793,
Maize,Sikkim,Rabi,,,,,,,0,,,,,,,,
Maize,Tamil Nadu,Kharif,2.26,2.01,2.23,2.4,2.13,16.42,16.22,17.4,17.5,12.75,7276,8050,7797,7283,5999
Maize,Tamil Nadu,Rabi,1.75,1.99,1.85,1.92,2.49,9.23,12.05,11.39,9.74,12.67,5287,6068,6141,5071,5082
Maize,Tamil Nadu,Summer,,,0.18,0.23,0.21,,,1.11,1.15,1.07,,,6141,5071,5082
Maize,Telangana,Kharif,0.86,2.89,2.51,2.16,2.12,4,13.17,11.43,9.4,10.21,4646,4558,4554,4350,4814
Maize,Telangana,Rabi,1.73,1.23,2.64,2.74,3.01,13.57,9.09,17.19,18.39,19.91,7844,7386,6511,6712,6605
Maize,Tripura,Kharif,0.14,0.15,0.11,0.11,,0.24,0.27,0.22,0.22,,1692,1842,1964,1964,
Maize,Tripura,Rabi,0.07,0.05,0.04,0.04,,0.18,0.13,0.13,0.13,,2491,2637,3505,3505,
Maize,Uttar Pradesh,Kharif,7.09,6.91,8.32,8.39,3.01,16.37,14.67,17.83,18.31,6.59,2309,2123,2143,2182,2189
Maize,Uttar Pradesh,Rabi,0.64,0.56,0.1,0.15,0.3,1.81,1.54,0.28,0.43,0.87,2828,2750,2822,2875,2911
Maize,Uttar Pradesh,Summer,,,0.49,2.5,3.06,,,1.41,7.95,9.57,,,2878,3178,3129
Maize,Uttarakhand,Kharif,0.2,0.21,0.17,0.17,0.17,0.41,0.52,0.39,0.4,0.46,2074,2486,2291,2425,2724
Maize,Uttarakhand,Rabi,0,,,,,0,0,,,,0,,,,
Maize,Uttarakhand,Summer,,,0,0,0.01,,,0.01,0.01,0.03,,,3000,3220,3225
Maize,West Bengal,Kharif,0.52,0.52,0.52,0.5,0.34,1.63,1.58,1.9,2,1.54,3132,3046,3633,3974,4547
Maize,West Bengal,Rabi,3.09,3.09,1.67,2,2.05,22.73,23.67,10.45,13.76,14.5,7362,7652,6247,6872,7074
Maize,West Bengal,Summer,,,1.43,1.42,1.63,,,10.41,10.28,11.85,,,7300,7239,7270
Maize,Others,Kharif,,,,,4.37,,,,,8.63,,,,,1973
Maize,Others,Rabi,,,,,0.28,,,,,0.59,,,,,2138
Maize,Others,Summer,,,,,0.17,,,,,0.38,,,,,2280
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Barley,Andaman And Nicobar Islands,Rabi,,0,,,,,0,,,,,0,,,
Barley,Andhra Pradesh,Rabi,,,,,,,0,,,,,,,,
Barley,Arunachal Pradesh,Rabi,0,0,,,,0,0,,,,1000,0,,,
Barley,Assam,Rabi,,,,,,,0,,,,,,,,
Barley,Bihar,Rabi,0.08,0.07,0.07,0.09,0.08,0.14,0.12,0.12,0.15,0.15,1903,1779,1727,1641,1914
Barley,Chandigarh,Rabi,,,,,,,0,,,,,,,,
Barley,Chhattisgarh,Rabi,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0,694,818,922,1001,777
Barley,Dadra And Nagar Haveli,Rabi,,,,,,,0,,,,,,,,
Barley,Daman And Diu,Rabi,,0,,,,,0,,,,,0,,,
Barley,Delhi,Rabi,0,0,0,0,,0,0,0,0,,3000,4000,4000,4000,
Barley,Goa,Rabi,,,,,,,0,,,,,,,,
Barley,Gujarat,Rabi,,,,,,,0,,,,,,,,
Barley,Haryana,Rabi,0.09,0.03,0.13,0.12,0.12,0.31,0.11,0.46,0.46,0.46,3343,3237,3573,3712,3893
Barley,Himachal Pradesh,Rabi,0.2,0.18,0.17,0.17,0.18,0.32,0.31,0.27,0.3,0.29,1573,1733,1579,1780,1680
Barley,Jammu And Kashmir,Rabi,0.04,0.07,0.07,0.07,,0.02,0.05,0.05,0.05,,576,654,662,662,
Barley,Jharkhand,Rabi,,,,,,,0,,,,,,,,
Barley,Karnataka,Rabi,,,,,,,0,,,,,,,,
Barley,Kerala,Rabi,,,,,,,0,,,,,,,,
Barley,Ladakh,Rabi,0.06,0.1,0.1,0.1,,0.04,0.22,0.17,0.17,,617,2200,1692,1692,
Barley,Lakshadweep,Rabi,,0,,,,,0,,,,,0,,,
Barley,Madhya Pradesh,Rabi,0.25,0.16,0.24,0.19,0.24,0.48,0.32,0.39,0.33,0.51,1919,2030,1613,1740,2123
Barley,Maharashtra,Rabi,0.63,0,,,,0.48,0,,,,764,0,,,
Barley,Manipur,Rabi,,0,,,,,0,,,,,0,,,
Barley,Meghalaya,Rabi,,,,,,,0,,,,,,,,
Barley,Mizoram,Rabi,,,,,,,0,,,,,,,,
Barley,Nagaland,Rabi,0.01,0,,,,0.01,0,,,,1036,0,,,
Barley,Odisha,Rabi,,,,,,,0,,,,,,,,
Barley,Puducherry,Rabi,,0,,,,,0,,,,,0,,,
Barley,Punjab,Rabi,0.06,0.05,0.05,0.05,0.05,0.22,0.15,0.19,0.19,0.2,3777,3096,3859,3737,3790
